"cid","cmpdname","cmpdsynonym","mw","mf","polararea","complexity","xlogp","heavycnt","hbonddonor","hbondacc","rotbonds","inchi","isosmiles","inchikey","iupacname","meshheadings","annothits","annothitcnt","aids","cidcdate","sidsrcname","depcatg","annotation"
102123497,"4-O-[6-O-(alpha-D-Mannopyranosyl)-beta-D-galactopyranosyl]-D-fructose","4-O-[6-O-(alpha-D-Mannopyranosyl)-beta-D-galactopyranosyl]-D-fructose",504.400,"C18H32O16",277.000,637.000,-7.000,34,11,16,11,"InChI=1S/C18H32O16/c19-1-5(22)9(24)16(6(23)2-20)34-18-15(30)13(28)11(26)8(33-18)4-31-17-14(29)12(27)10(25)7(3-21)32-17/h6-21,23-30H,1-4H2/t6-,7-,8-,9-,10-,11+,12+,13+,14+,15-,16-,17+,18+/m1/s1","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)O[C@H]([C@@H](CO)O)[C@@H](C(=O)CO)O)O)O)O)O)O)O)O","JZBCIZZDHIDCRE-DZGXKXHBSA-N","(3S,4R,5R)-1,3,5,6-tetrahydroxy-4-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-[[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyhexan-2-one","","",0,"",20151224,"Japan Chemical Substance Dictionary (Nikkaji)","Governmental Organizations",""
102370697,"5-Azido-6-O-(6-hydroxyhexyl)-5-deoxy-D-fructose","5-Azido-6-O-(6-hydroxyhexyl)-5-deoxy-D-fructose",305.330,"C12H23N3O6",122.000,335.000,-0.400,21,4,8,13,"InChI=1S/C12H23N3O6/c13-15-14-9(11(19)12(20)10(18)7-17)8-21-6-4-2-1-3-5-16/h9,11-12,16-17,19-20H,1-8H2/t9-,11-,12-/m1/s1","C(CCCOC[C@H]([C@H]([C@@H](C(=O)CO)O)O)N=[N+]=[N-])CCO","UQPQXTCMRAZXKQ-YUSALJHKSA-N","(3S,4R,5R)-5-azido-1,3,4-trihydroxy-6-(6-hydroxyhexoxy)hexan-2-one","","",0,"",20151226,"Japan Chemical Substance Dictionary (Nikkaji)","Governmental Organizations",""
122207081,"1-O,6-O-Dilauroyl-D-fructose","1-O,6-O-Dilauroyl-D-fructose",544.800,"C30H56O8",130.000,595.000,8.200,38,3,8,29,"InChI=1S/C30H56O8/c1-3-5-7-9-11-13-15-17-19-21-27(33)37-23-25(31)29(35)30(36)26(32)24-38-28(34)22-20-18-16-14-12-10-8-6-4-2/h25,29-31,35-36H,3-24H2,1-2H3/t25-,29-,30-/m1/s1","CCCCCCCCCCCC(=O)OC[C@H]([C@H]([C@@H](C(=O)COC(=O)CCCCCCCCCCC)O)O)O","WSMXCYLYDIJLBN-WKNQFTJWSA-N","[(2R,3R,4S)-6-dodecanoyloxy-2,3,4-trihydroxy-5-oxohexyl] dodecanoate","","",0,"",20161121,"Japan Chemical Substance Dictionary (Nikkaji)","Governmental Organizations",""
129856249,"1,6-Di-O-l-valyl-d-fructose","1,6-di-O-l-valyl-d-fructose",380.430,"C16H30N2O8",182.000,483.000,-1.200,26,5,10,13,"InChI=1S/C16H30N2O8/c1-7(2)11(17)15(23)25-5-9(19)13(21)14(22)10(20)6-26-16(24)12(18)8(3)4/h7-9,11-14,19,21-22H,5-6,17-18H2,1-4H3/t9-,11+,12+,13-,14-/m1/s1/i/hD2","[2H]N[C@@H](C(C)C)C(=O)OC[C@H]([C@H]([C@@H](C(=O)COC(=O)[C@H](C(C)C)N[2H])O)O)O","FBYOWYXYZJRSOP-SOMCLKLGSA-N","[(2R,3R,4S)-6-[(2S)-2-(deuterioamino)-3-methylbutanoyl]oxy-2,3,4-trihydroxy-5-oxohexyl] (2S)-2-(deuterioamino)-3-methylbutanoate","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
129778809,"Fructose tetranicotinate","fructose tetranicotinate",664.500,"C30H24N4O14",267.000,1160.000,0.100,48,5,18,13,"InChI=1S/C30H24N4O14/c35-17-27(41)26(40)28(42,44-22(36)18-5-1-9-31-13-18)29(43,45-23(37)19-6-2-10-32-14-19)30(48-27,46-24(38)20-7-3-11-33-15-20)47-25(39)21-8-4-12-34-16-21/h1-16,26,35,40-43H,17H2/t26-,27+,28-,29-/m1/s1","C1=CC(=CN=C1)C(=O)O[C@@]2([C@@H]([C@@](OC([C@]2(O)OC(=O)C3=CN=CC=C3)(OC(=O)C4=CN=CC=C4)OC(=O)C5=CN=CC=C5)(CO)O)O)O","KKLGSGXAVMKSGZ-VJLHXPKFSA-N","[(3R,4R,5R,6S)-3,4,5,6-tetrahydroxy-6-(hydroxymethyl)-2,2,3-tris(pyridine-3-carbonyloxy)oxan-4-yl] pyridine-3-carboxylate","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
129730105,"Fructose selon","fructose selon",273.110,"C6H10O7Se",127.000,275.000,"",14,5,7,1,"InChI=1S/C6H10O7Se/c7-1-6(11)4(10)2(8)3(9)5(13-6)14-12/h2-4,7-11H,1H2/t2-,3+,4+,6+/m1/s1","C([C@]1([C@H]([C@@H]([C@@H](C(=[Se]=O)O1)O)O)O)O)O","RHMHRYSTWQWTPJ-SYXVZTBSSA-N","(2S,3S,4S,5S)-2-(hydroxymethyl)-6-seleninyloxane-2,3,4,5-tetrol","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
129717625,"Fructose pyruvate acetate","fructose pyruvate acetate",324.240,"C11H16O11",180.000,449.000,-3.000,22,5,11,7,"InChI=1S/C11H16O11/c1-4(13)10(18)22-21-6(14)2-5-7(15)8(16)9(17)11(19,3-12)20-5/h5,7-9,12,15-17,19H,2-3H2,1H3/t5?,7-,8-,9+,11+/m1/s1","CC(=O)C(=O)OOC(=O)CC1[C@H]([C@H]([C@@H]([C@@](O1)(CO)O)O)O)O","FTQABTISQNQPCE-UTHKGTQJSA-N","[2-[(3S,4R,5S,6S)-3,4,5,6-tetrahydroxy-6-(hydroxymethyl)oxan-2-yl]acetyl] 2-oxopropaneperoxoate","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
129704121,"Fructose bicarbonate","fructose bicarbonate",240.160,"C7H12O9",157.000,269.000,-2.700,16,6,9,3,"InChI=1S/C7H12O9/c8-1-7(14)4(11)2(9)3(10)5(16-7)15-6(12)13/h2-5,8-11,14H,1H2,(H,12,13)/t2-,3+,4+,5?,7+/m1/s1","C([C@]1([C@H]([C@@H]([C@@H](C(O1)OC(=O)O)O)O)O)O)O","NGOLOFKJUJKCKJ-DTMDFXLUSA-N","[(3S,4R,5S,6S)-3,4,5,6-tetrahydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen carbonate","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
129700041,"6-Deoxy-6-mercapto-d-fructose","6-deoxy-6-mercapto-d-fructose",197.230,"C6H12O5S",99.000,151.000,-2.300,12,5,6,5,"InChI=1S/C6H12O5S/c7-1-3(8)5(10)6(11)4(9)2-12/h4-7,9-12H,1-2H2/t4-,5-,6-/m1/s1/i/hD","[2H]SC[C@H]([C@H]([C@@H](C(=O)CO)O)O)O","CBBPSPHOJDWQMH-CXBXGKOZSA-N","(3S,4S,5S)-6-deuteriosulfanyl-1,3,4,5-tetrahydroxyhexan-2-one","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
129669881,"Fructose pyruvate malate","fructose pyruvate malate",466.300,"C16H18O16",250.000,830.000,-3.100,32,5,16,12,"InChI=1S/C16H18O16/c1-5(18)13(24)30-29-8(20)3-7(15(26)32-31-14(25)6(2)19)11-9(21)10(22)12(23)16(27,4-17)28-11/h3,9-12,17,21-23,27H,4H2,1-2H3/b7-3+/t9-,10+,11?,12-,16-/m0/s1","CC(=O)C(=O)OOC(=O)/C=C(\\C1[C@H]([C@H]([C@@H]([C@@](O1)(CO)O)O)O)O)/C(=O)OOC(=O)C(=O)C","NEGZXOHOKVFFDB-FHUNTZHVSA-N","bis(2-oxopropanoyl) (E)-2-[(3S,4R,5S,6S)-3,4,5,6-tetrahydroxy-6-(hydroxymethyl)oxan-2-yl]but-2-enediperoxoate","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
129635401,"Fructose-1,6-Propionaldehyd","Fructose-1,6- Propionaldehyd",234.200,"C9H14O7",127.000,321.000,-3.100,16,5,7,1,"InChI=1S/C9H14O7/c1-8(2-10)6-4(12)3(11)5(13)9(15,16-6)7(8)14/h2-7,11-15H,1H3/t3-,4+,5+,6?,7?,8?,9-/m1/s1","CC1(C2[C@H]([C@H]([C@@H]([C@](C1O)(O2)O)O)O)O)C=O","MVJOOWDNSAVYQO-NLYHEQIYSA-N","(1S,2S,3R,4S)-1,2,3,4,7-pentahydroxy-6-methyl-8-oxabicyclo[3.2.1]octane-6-carbaldehyde","","Literature",1,"",20170913,"Springer Nature","Journal Publishers",""
71777425,"1-Deoxy-l-asparagino-fructose","1-deoxy-l-asparagino-fructose|ZINC205487320|1-[[(1S)-1-Carboxy-3-oxo-3-aminopropyl]amino]-1-deoxy-D-fructose|(2S)-4-amino-4-oxo-2-[[(3S,4R,5R)-3,4,5,6-tetrahydroxy-2-oxohexyl]amino]butanoic acid",294.260,"C10H18N2O8",190.000,361.000,-6.800,20,7,9,10,"InChI=1S/C10H18N2O8/c11-7(16)1-4(10(19)20)12-2-5(14)8(17)9(18)6(15)3-13/h4,6,8-9,12-13,15,17-18H,1-3H2,(H2,11,16)(H,19,20)/t4-,6+,8+,9+/m0/s1","C([C@@H](C(=O)O)NCC(=O)[C@H]([C@@H]([C@@H](CO)O)O)O)C(=O)N","SPIROCFTONGMLA-WGDRPHDWSA-N","(2S)-4-amino-4-oxo-2-[[(3S,4R,5R)-3,4,5,6-tetrahydroxy-2-oxohexyl]amino]butanoic acid","","Literature|Names and Identifiers|Patents",3,"",20131113,"Chemieliva Pharmaceutical Co., Ltd|Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|PATENTSCOPE (WIPO)|Springer Nature|ZINC","Chemical Vendors|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development",""
545997,"D-Fructose, 1,3,6-trideoxy-3,6-epithio-","3,6-Anhydro-1-deoxy-3-thiohex-2-ulose #|D-Fructose, 1,3,6-trideoxy-3,6-epithio-",162.210,"C6H10O3S",82.800,148.000,-0.200,10,2,4,1,"InChI=1S/C6H10O3S/c1-3(7)6-5(9)4(8)2-10-6/h4-6,8-9H,2H2,1H3","CC(=O)C1C(C(CS1)O)O","BLRLPKUJYRPMPS-UHFFFAOYSA-N","1-(3,4-dihydroxythiolan-2-yl)ethanone","","",0,"",20050327,"ABI Chem|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|NextBio|NIST Mass Spectrometry Data Center","Chemical Vendors|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
99513,"5-Dehydro-D-fructose","5-Dehydro-D-fructose|5-Ketofructose|5-Keto-D-fructose|D-threo-hexo-2,5-diulose|1684-29-3|D-threo-2,5-Hexodiulose|UNII-GRN7HJ7B3M|GRN7HJ7B3M|(3S,4S)-1,3,4,6-tetrahydroxyhexane-2,5-dione|NSC 231823|threo-2,5-Hexodiulose|D-threo-[2,5]hexodiulose|SCHEMBL1292904|CHEBI:17011|C00273|Q27102174|5729-73-7",178.140,"C6H10O6",115.000,157.000,-2.900,12,4,6,5,"InChI=1S/C6H10O6/c7-1-3(9)5(11)6(12)4(10)2-8/h5-8,11-12H,1-2H2/t5-,6-/m1/s1","C(C(=O)[C@H]([C@@H](C(=O)CO)O)O)O","AWQIYVPBMVSGCL-PHDIDXHHSA-N","(3S,4S)-1,3,4,6-tetrahydroxyhexane-2,5-dione","","Classification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry",5,"",20040916,"AAA Chemistry|ABI Chem|BioCyc|ChEBI|Chemhere|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|FDA/SPL Indexing Data|Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|MetabolomicsWorkbench|MuseChem|NextBio|NextMove Software|NovoSeek|PATENTSCOPE (WIPO)|Smolecule|Springer Nature|SureChEMBL|THE BioTek|The Natural Products Atlas|ToxPlanet|Wikidata","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services",""
5746750,"Penta-O-acetyl-fructose 2,4-dinitrophenylhydrazine","Fructose, penta-O-acetate, 2,4-dinitrophenylhydrazine|101833-01-6|Penta-O-acetyl-fructose 2,4-dinitrophenylhydrazine|DTXSID90144260",588.500,"C22H28N4O15",278.000,830.000,"",41,2,17,16,"InChI=1S/C16H22O11.C6H6N4O4/c1-8(17)23-6-13(22)15(26-11(4)20)16(27-12(5)21)14(25-10(3)19)7-24-9(2)18;7-8-5-2-1-4(9(11)12)3-6(5)10(13)14/h14-16H,6-7H2,1-5H3;1-3,8H,7H2/t14-,15-,16-;/m1./s1","CC(=O)OC[C@H]([C@H]([C@@H](C(=O)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C.C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NN","RLUOOQQETXODRP-UDHFTORSSA-N","(2,4-dinitrophenyl)hydrazine;[(2R,3R,4S)-2,3,4,6-tetraacetyloxy-5-oxohexyl] acetate","","Classification|Names and Identifiers",2,"",20050809,"ABI Chem|ChemIDplus|ChemSpider|ChemTik|DiscoveryGate|EPA DSSTox|LeadScope|NextBio|ToxPlanet","Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
9577101,"D-Fructose, (2,4-dinitrophenyl)hydrazone, 1,3,4,5,6-pentaacetate","D-Fructose, (2,4-dinitrophenyl)hydrazone, 1,3,4,5,6-pentaacetate|54538-26-0",570.500,"C22H26N4O14",248.000,1000.000,2.000,40,1,16,17,"InChI=1S/C22H26N4O14/c1-11(27)36-9-18(24-23-17-7-6-16(25(32)33)8-19(17)26(34)35)21(39-14(4)30)22(40-15(5)31)20(38-13(3)29)10-37-12(2)28/h6-8,20-23H,9-10H2,1-5H3/b24-18+/t20-,21-,22-/m1/s1","CC(=O)OC[C@H]([C@H]([C@@H](/C(=N/NC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-])/COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C","HHZPYULMSXDKIA-OXNNBMGBSA-N","[(2R,3S,4R,5E)-2,3,4,6-tetraacetyloxy-5-[(2,4-dinitrophenyl)hydrazinylidene]hexyl] acetate","","Classification|Names and Identifiers",2,"",20061024,"ChemIDplus|ChemSpider|NextBio|ToxPlanet","Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
9577099,"D-Fructose, (2,4-dinitrophenyl)hydrazone","D-Fructose, (2,4-dinitrophenyl)hydrazone|54538-24-8",360.280,"C12H16N4O9",217.000,492.000,-0.900,25,6,11,7,"InChI=1S/C12H16N4O9/c17-4-8(11(20)12(21)10(19)5-18)14-13-7-2-1-6(15(22)23)3-9(7)16(24)25/h1-3,10-13,17-21H,4-5H2/b14-8-/t10-,11-,12-/m1/s1","C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N/N=C(/CO)\\[C@H]([C@@H]([C@@H](CO)O)O)O","WVGFITUPUJHJSU-OOEHGHPOSA-N","(2R,3S,4R,5Z)-5-[(2,4-dinitrophenyl)hydrazinylidene]hexane-1,2,3,4,6-pentol","","Classification|Names and Identifiers",2,"",20061024,"ChemIDplus|ChemSpider|NextBio|ToxPlanet","Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
9604167,"D-Fructose, 1,3,4,5-tetrakis-O-(trimethylsilyl)-, O-ethyloxime, 6-[bis(trimethylsilyl) phosphate]","D-Fructose, 1,3,4,5-tetrakis-O-(trimethylsilyl)-, O-ethyloxime, 6-[bis(trimethylsilyl) phosphate]",736.300,"C26H66NO9PSi6",103.000,897.000,"",43,0,10,21,"InChI=1S/C26H66NO9PSi6/c1-20-29-27-23(21-31-38(2,3)4)25(33-40(8,9)10)26(34-41(11,12)13)24(32-39(5,6)7)22-30-37(28,35-42(14,15)16)36-43(17,18)19/h24-26H,20-22H2,1-19H3/b27-23+","CCO/N=C(\\CO[Si](C)(C)C)/C(C(C(COP(=O)(O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C","ACXXMPWWLLJSAA-SLEBQGDGSA-N","[(5E)-5-ethoxyimino-2,3,4,6-tetrakis(trimethylsilyloxy)hexyl] bis(trimethylsilyl) phosphate","","",0,"",20061024,"ChemSpider|NextBio|NIST Mass Spectrometry Data Center","Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
16219351,"D-Fructose 6-phosphate dipotassium salt","D-Fructose 6-phosphate dipotassium salt|DTXSID90585154|PUBCHEM_16219351|d-fructose 6-phosphate dipotas-sium salt",299.230,"C6H13KO9P",157.000,290.000,"",17,6,9,4,"InChI=1S/C6H13O9P.K/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13;/h3-5,7-10H,1-2H2,(H2,11,12,13);","C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O.[K]","QGPSDEVNXCUGNU-UHFFFAOYSA-N","","","Literature",1,"",20070716,"Ambinter|Biocore|BOC Sciences|Chembase.cn|ChemSpider|ChemTik|EPA DSSTox|Smolecule|Springer Nature|THE BioTek|Tractus","Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development",""
11311099,"3-Deoxy-d-fructose-6-phosphate","SCHEMBL5790773|3-deoxy-d-fructose-6-phosphate|[(2R,3S)-2,3,6-trihydroxy-5-oxohexyl] dihydrogen phosphate",244.140,"C6H13O8P",145.000,248.000,-3.800,15,5,8,7,"InChI=1S/C6H13O8P/c7-2-4(8)1-5(9)6(10)3-14-15(11,12)13/h5-7,9-10H,1-3H2,(H2,11,12,13)/t5-,6+/m0/s1","C([C@@H]([C@@H](COP(=O)(O)O)O)O)C(=O)CO","GAFPHXWGXOIGAB-NTSWFWBYSA-N","[(2R,3S)-2,3,6-trihydroxy-5-oxohexyl] dihydrogen phosphate","","Literature|Patents",2,"",20061026,"ChemSpider|DiscoveryGate|Google Patents|IBM|NextBio|PATENTSCOPE (WIPO)|Springer Nature|SureChEMBL|Thomson Pharma","Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services",""
11368539,"3-O,4-O:5-O,6-O-Diisopropylidene-1-deoxy-L-fructose","3-O,4-O:5-O,6-O-Diisopropylidene-1-deoxy-L-fructose",244.280,"C12H20O5",54.000,323.000,0.500,17,0,5,2,"InChI=1S/C12H20O5/c1-7(13)9-10(17-12(4,5)16-9)8-6-14-11(2,3)15-8/h8-10H,6H2,1-5H3/t8-,9-,10-/m0/s1","CC(=O)[C@H]1[C@@H](OC(O1)(C)C)[C@@H]2COC(O2)(C)C","CXZICRIDYZTQFN-GUBZILKMSA-N","1-[(4R,5S)-5-[(4S)-2,2-dimethyl-1,3-dioxolan-4-yl]-2,2-dimethyl-1,3-dioxolan-4-yl]ethanone","","Literature",1,"",20061026,"ChemSpider|DiscoveryGate|Japan Chemical Substance Dictionary (Nikkaji)|NextBio|Thieme Chemistry|Thomson Pharma","Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services",""
14367659,"TMS D-fructose","TMS D-fructose|SCHEMBL10912576|19126-98-8",541.100,"C21H52O6Si5",63.200,582.000,"",32,0,6,15,"InChI=1S/C21H52O6Si5/c1-28(2,3)23-16-18(22)20(26-31(10,11)12)21(27-32(13,14)15)19(25-30(7,8)9)17-24-29(4,5)6/h19-21H,16-17H2,1-15H3/t19-,20-,21-/m1/s1","C[Si](C)(C)OC[C@H]([C@H]([C@@H](C(=O)CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C","LDUCAYFXHYLHLP-NJDAHSKKSA-N","(3S,4R,5R)-1,3,4,5,6-pentakis(trimethylsilyloxy)hexan-2-one","","",0,"",20070209,"ChemSpider|Japan Chemical Substance Dictionary (Nikkaji)|MuseChem|SureChEMBL|ToxPlanet","Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
14806557,"1-(Methylamino)-1-deoxy-D-fructose","SCHEMBL8528869|1-(Methylamino)-1-deoxy-D-fructose|(3S,4R,5R)-3,4,5,6-tetrahydroxy-1-(methylamino)hexan-2-one",193.200,"C7H15NO5",110.000,163.000,-3.000,13,5,6,6,"InChI=1S/C7H15NO5/c1-8-2-4(10)6(12)7(13)5(11)3-9/h5-9,11-13H,2-3H2,1H3/t5-,6-,7-/m1/s1","CNCC(=O)[C@H]([C@@H]([C@@H](CO)O)O)O","KJPUOMSDQAYQLZ-FSDSQADBSA-N","(3S,4R,5R)-3,4,5,6-tetrahydroxy-1-(methylamino)hexan-2-one","","Patents",1,"",20070209,"Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|SureChEMBL","Curation Efforts|Governmental Organizations|Research and Development",""
22296791,"1-O,4-O,5-O,6-O-Tetramethyl-3-O-(2-O,3-O,4-O,6-O-tetramethyl-alpha-D-glucopyranosyl)-D-fructose","1-O,4-O,5-O,6-O-Tetramethyl-3-O-(2-O,3-O,4-O,6-O-tetramethyl-alpha-D-glucopyranosyl)-D-fructose|57174-13-7",454.500,"C20H38O11",109.000,492.000,-1.100,31,0,11,16,"InChI=1S/C20H38O11/c1-22-9-12(21)15(16(26-5)13(25-4)10-23-2)31-20-19(29-8)18(28-7)17(27-6)14(30-20)11-24-3/h13-20H,9-11H2,1-8H3/t13-,14-,15-,16-,17-,18+,19-,20-/m1/s1","COC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]([C@@H]([C@@H](COC)OC)OC)C(=O)COC)OC)OC)OC","AHFOVJGYBHHTAT-HJUCRKGVSA-N","(3S,4R,5R)-1,4,5,6-tetramethoxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trimethoxy-6-(methoxymethyl)oxan-2-yl]oxyhexan-2-one","","",0,"",20071205,"ChemSpider|Japan Chemical Substance Dictionary (Nikkaji)|ToxPlanet","Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
71434189,"D-Fructose-U-13C6","D-fructose-U-13C6|D-Fructose-1,2,3,4,5,6-13C6",184.100,"C6H10O6",110.000,162.000,-2.800,12,5,6,1,"InChI=1S/C6H10O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1H2/t3-,4-,5+,6?/m1/s1/i1+1,2+1,3+1,4+1,5+1,6+1","[13CH2]1[13C@H]([13C@H]([13C@@H]([13C](O1)([13C]O)O)O)O)O","XZMOJGFCPPIHMS-TXOLJYCISA-N","","","","","",20130522,"AA BLOCKS|ChemTik|Omicron Biochemicals, Inc.","Chemical Vendors|Legacy Depositors",""
23692765,"Fructose diphosphate sodium","UNII-BB10X54D7D|BB10X54D7D|23558-08-9|Fructose diphosphate sodium|EINECS 245-734-4|sodium;[(3S,4R,5R)-3,4,5-trihydroxy-2-oxo-6-phosphonooxyhexyl] hydrogen phosphate",362.100,"C6H13NaO12P2",214.000,422.000,"",21,6,12,9,"InChI=1S/C6H14O12P2.Na/c7-3(1-17-19(11,12)13)5(9)6(10)4(8)2-18-20(14,15)16;/h3,5-7,9-10H,1-2H2,(H2,11,12,13)(H2,14,15,16);/q;+1/p-1/t3-,5-,6-;/m1./s1","C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)[O-])O)O)O)OP(=O)(O)O.[Na+]","HBYYJIPCYANMBX-BAOOBMCLSA-M","sodium;[(3S,4R,5R)-3,4,5-trihydroxy-2-oxo-6-phosphonooxyhexyl] hydrogen phosphate","","Classification|Literature|Names and Identifiers|Use and Manufacturing",4,"",20080205,"AAA Chemistry|ABI Chem|ChemIDplus|ChemSpider|NextBio|THE BioTek","Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services",""
24802141,"D-Fructose 6-phosphate, disodium salt dihydrate","F-7500|F-7501|D-Fructose 6-phosphate, disodium salt dihydrate",304.100,"C6H11Na2O9P",163.000,299.000,"",18,4,9,4,"InChI=1S/C6H13O9P.2Na/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13;;/h3-5,7-10H,1-2H2,(H2,11,12,13);;/q;2*+1/p-2/t3-,4+,5?,6-;;/m1../s1","C([C@@H]1[C@@H](C([C@](O1)(CO)O)O)O)OP(=O)([O-])[O-].[Na+].[Na+]","HYDCSGSCSYCSAK-PKTPBNFWSA-L","disodium;[(2R,3R,5R)-3,4,5-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl phosphate","","",0,"",20080606,"Biosynth Carbosynth","Chemical Vendors",""
24802139,"D-Fructose 1,6-diphosphate, trisodium salt octahydrate","F-7420|D-Fructose 1,6-diphosphate, trisodium salt octahydrate",336.080,"C6H10O12P2-4",215.000,405.000,-5.900,20,3,12,4,"InChI=1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/p-4/t3-,4+,5?,6-/m1/s1","C([C@@H]1[C@@H](C([C@](O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-]","RNBGYGVWRKECFJ-WGDKFINWSA-J","[(2R,3R,5R)-3,4,5-trihydroxy-5-(phosphonatooxymethyl)oxolan-2-yl]methyl phosphate","","",0,"",20080606,"Biosynth Carbosynth","Chemical Vendors",""
24886701,"3-Keto-1,5-anhydro-D-fructose","SCHEMBL6668228|3-keto-1,5-anhydro-D-fructose|(5R,6R)-5-hydroxy-6-(hydroxymethyl)oxane-3,4-dione",160.120,"C6H8O5",83.800,187.000,-1.400,11,2,5,1,"InChI=1S/C6H8O5/c7-1-4-6(10)5(9)3(8)2-11-4/h4,6-7,10H,1-2H2/t4-,6-/m1/s1","C1C(=O)C(=O)[C@@H]([C@H](O1)CO)O","TWCWUQMIUSOTJY-INEUFUBQSA-N","(5R,6R)-5-hydroxy-6-(hydroxymethyl)oxane-3,4-dione","","Literature|Patents",2,"",20080908,"BioCyc|DiscoveryGate|Google Patents|PATENTSCOPE (WIPO)|SureChEMBL|Thomson Pharma","Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services",""
